,name,percent_change,values
0,Bitcoin,1h,-0.15174692
1,Bitcoin,24h,2.15824222
2,Bitcoin,7d,7.85105264
3,Bitcoin,30d,-4.36105435
4,Bitcoin,60d,4.03774488
5,Bitcoin,90d,23.86090973
6,Ethereum,1h,0.16260314
7,Ethereum,24h,1.90445136
8,Ethereum,7d,5.36037159
9,Ethereum,30d,-2.12254726
10,Ethereum,60d,2.99047645
11,Ethereum,90d,26.05720517
12,Tether USDt,1h,0.00600399
13,Tether USDt,24h,0.02198813
14,Tether USDt,7d,-0.00924261
15,Tether USDt,30d,-0.09869362
16,Tether USDt,60d,-0.06229956
17,Tether USDt,90d,-0.10176073
18,BNB,1h,0.3168011
19,BNB,24h,1.75231803
20,BNB,7d,2.94608997
21,BNB,30d,-4.20032752
22,BNB,60d,30.78626934
23,BNB,90d,30.73297958
24,Solana,1h,1.02482335
25,Solana,24h,6.51166787
26,Solana,7d,16.31749644
27,Solana,30d,-6.18692542
28,Solana,60d,58.92371896
29,Solana,90d,141.98145275
30,XRP,1h,0.47355593
31,XRP,24h,2.76094133
32,XRP,7d,-1.0070286
33,XRP,30d,-19.99542263
34,XRP,60d,-20.00016233
35,XRP,90d,-17.68702678
36,USDC,1h,0.01703302
37,USDC,24h,-0.01714314
38,USDC,7d,-0.01836389
39,USDC,30d,-0.00228495
40,USDC,60d,0.02171247
41,USDC,90d,-0.01043107
42,Cardano,1h,0.33093932
43,Cardano,24h,3.75659047
44,Cardano,7d,8.88682628
45,Cardano,30d,-16.52431187
46,Cardano,60d,24.70165647
47,Cardano,90d,56.27724136
48,Avalanche,1h,1.1641512
49,Avalanche,24h,4.24320595
50,Avalanche,7d,13.81614328
51,Avalanche,30d,-14.47990597
52,Avalanche,60d,54.94544847
53,Avalanche,90d,189.52750162
54,Dogecoin,1h,0.15706417
55,Dogecoin,24h,1.10442896
56,Dogecoin,7d,2.46774301
57,Dogecoin,30d,-12.92475557
58,Dogecoin,60d,-11.45084695
59,Dogecoin,90d,15.77744664
60,TRON,1h,0.45320053
61,TRON,24h,4.01556815
62,TRON,7d,3.60883619
63,TRON,30d,7.7800574
64,TRON,60d,12.7189659
65,TRON,90d,20.60822662
66,Chainlink,1h,1.12708237
67,Chainlink,24h,15.11454553
68,Chainlink,7d,31.96412833
69,Chainlink,30d,18.19443098
70,Chainlink,60d,12.51500849
71,Chainlink,90d,60.69508445
72,Polkadot,1h,0.53476283
73,Polkadot,24h,3.12843468
74,Polkadot,7d,7.83091172
75,Polkadot,30d,-18.78347185
76,Polkadot,60d,21.63173681
77,Polkadot,90d,47.39840807
78,Polygon,1h,0.12261287
79,Polygon,24h,5.06559719
80,Polygon,7d,11.75687342
81,Polygon,30d,-16.23630663
82,Polygon,60d,-0.7296689
83,Polygon,90d,21.91941818
84,Toncoin,1h,0.58332845
85,Toncoin,24h,1.9585476
86,Toncoin,7d,0.47119569
87,Toncoin,30d,-7.99044005
88,Toncoin,60d,-13.80802443
89,Toncoin,90d,-6.90608047
Bitcoin,1h,-0.15174692
Bitcoin,24h,2.15824222
Bitcoin,7d,7.85105264
Bitcoin,30d,-4.36105435
Bitcoin,60d,4.03774488
Bitcoin,90d,23.86090973
Ethereum,1h,0.16260314
Ethereum,24h,1.90445136
Ethereum,7d,5.36037159
Ethereum,30d,-2.12254726
Ethereum,60d,2.99047645
Ethereum,90d,26.05720517
Tether USDt,1h,0.00600399
Tether USDt,24h,0.02198813
Tether USDt,7d,-0.00924261
Tether USDt,30d,-0.09869362
Tether USDt,60d,-0.06229956
Tether USDt,90d,-0.10176073
BNB,1h,0.3168011
BNB,24h,1.75231803
BNB,7d,2.94608997
BNB,30d,-4.20032752
BNB,60d,30.78626934
BNB,90d,30.73297958
Solana,1h,1.02482335
Solana,24h,6.51166787
Solana,7d,16.31749644
Solana,30d,-6.18692542
Solana,60d,58.92371896
Solana,90d,141.98145275
XRP,1h,0.47355593
XRP,24h,2.76094133
XRP,7d,-1.0070286
XRP,30d,-19.99542263
XRP,60d,-20.00016233
XRP,90d,-17.68702678
USDC,1h,0.01703302
USDC,24h,-0.01714314
USDC,7d,-0.01836389
USDC,30d,-0.00228495
